AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT
Alcoholic Beverage Regulation Administration,2020-08-31 00:00:00+00:00,645.3857142857142
Alcoholic Beverage Regulation Administration,2020-09-30 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2020-10-31 00:00:00+00:00,1244.379375
Board of Elections & Ethics,2009-01-31 00:00:00+00:00,482.78666666666663
Board of Elections & Ethics,2009-02-28 00:00:00+00:00,235.34
Board of Elections & Ethics,2009-03-31 00:00:00+00:00,559.2059999999999
Board of Elections & Ethics,2009-04-30 00:00:00+00:00,338.96166666666664
Board of Elections & Ethics,2009-05-31 00:00:00+00:00,299.96333333333337
Board of Elections & Ethics,2009-06-30 00:00:00+00:00,274.62
Board of Elections & Ethics,2009-07-31 00:00:00+00:00,0.0
Board of Elections & Ethics,2009-08-31 00:00:00+00:00,284.5
Board of Elections & Ethics,2009-09-30 00:00:00+00:00,335.69
Board of Elections & Ethics,2009-10-31 00:00:00+00:00,60.47
Board of Elections & Ethics,2009-11-30 00:00:00+00:00,643.51
Board of Elections & Ethics,2009-12-31 00:00:00+00:00,92.38666666666666
Board of Elections & Ethics,2010-01-31 00:00:00+00:00,166.9525
Board of Elections & Ethics,2010-02-28 00:00:00+00:00,279.56100000000004
Board of Elections & Ethics,2010-03-31 00:00:00+00:00,557.14
Board of Elections & Ethics,2010-04-30 00:00:00+00:00,243.6475
Board of Elections & Ethics,2010-05-31 00:00:00+00:00,470.28285714285715
Board of Elections & Ethics,2010-06-30 00:00:00+00:00,599.9575
Board of Elections & Ethics,2010-07-31 00:00:00+00:00,407.1345454545455
Board of Elections & Ethics,2010-08-31 00:00:00+00:00,485.7753124999999
Board of Elections & Ethics,2010-09-30 00:00:00+00:00,682.8100000000001
Board of Elections & Ethics,2010-10-31 00:00:00+00:00,373.41807692307697
Board of Elections & Ethics,2010-11-30 00:00:00+00:00,117.66199999999999
Board of Elections & Ethics,2010-12-31 00:00:00+00:00,309.68125
Board of Elections & Ethics,2011-01-31 00:00:00+00:00,311.15999999999997
Board of Elections & Ethics,2011-02-28 00:00:00+00:00,214.7525
Board of Elections & Ethics,2011-03-31 00:00:00+00:00,310.978
Board of Elections & Ethics,2011-04-30 00:00:00+00:00,400.03086956521736
Board of Elections & Ethics,2011-05-31 00:00:00+00:00,102.96100000000001
