AGENCY,TRANSACTION_DATE,Diff
Alcoholic Beverage Regulation Administration,2019-06-30 00:00:00+00:00,93.00117647058826
Alcoholic Beverage Regulation Administration,2019-07-31 00:00:00+00:00,-50.0
Alcoholic Beverage Regulation Administration,2019-08-31 00:00:00+00:00,-42.194375
Alcoholic Beverage Regulation Administration,2019-09-30 00:00:00+00:00,41.10368421052632
Alcoholic Beverage Regulation Administration,2019-10-31 00:00:00+00:00,-51.525714285714265
Alcoholic Beverage Regulation Administration,2019-11-30 00:00:00+00:00,78.41666666666667
Alcoholic Beverage Regulation Administration,2019-12-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2020-01-31 00:00:00+00:00,-70.12375
Alcoholic Beverage Regulation Administration,2020-02-29 00:00:00+00:00,62.1342857142857
Alcoholic Beverage Regulation Administration,2020-03-31 00:00:00+00:00,-45.18444444444444
Alcoholic Beverage Regulation Administration,2020-04-30 00:00:00+00:00,1191.1433333333332
Alcoholic Beverage Regulation Administration,2020-05-31 00:00:00+00:00,-3079.5
Alcoholic Beverage Regulation Administration,2020-06-30 00:00:00+00:00,633.0
Alcoholic Beverage Regulation Administration,2020-07-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2020-08-31 00:00:00+00:00,-42.142857142857146
Alcoholic Beverage Regulation Administration,2020-09-30 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2020-10-31 00:00:00+00:00,85.45375000000004
Board of Elections & Ethics,2009-01-31 00:00:00+00:00,-148.0666666666667
Board of Elections & Ethics,2009-02-28 00:00:00+00:00,-220.62199999999999
Board of Elections & Ethics,2009-03-31 00:00:00+00:00,86.36800000000001
Board of Elections & Ethics,2009-04-30 00:00:00+00:00,-90.29833333333333
Board of Elections & Ethics,2009-05-31 00:00:00+00:00,1.0
Board of Elections & Ethics,2009-06-30 00:00:00+00:00,32.987500000000004
Board of Elections & Ethics,2009-07-31 00:00:00+00:00,0.0
Board of Elections & Ethics,2009-08-31 00:00:00+00:00,54.24666666666667
Board of Elections & Ethics,2009-09-30 00:00:00+00:00,-9.025384615384613
Board of Elections & Ethics,2009-10-31 00:00:00+00:00,-54.71000000000001
Board of Elections & Ethics,2009-11-30 00:00:00+00:00,-25.400000000000006
Board of Elections & Ethics,2009-12-31 00:00:00+00:00,13.11
Board of Elections & Ethics,2010-01-31 00:00:00+00:00,76.5
Board of Elections & Ethics,2010-02-28 00:00:00+00:00,-38.421
Board of Elections & Ethics,2010-03-31 00:00:00+00:00,51.31571428571429
Board of Elections & Ethics,2010-04-30 00:00:00+00:00,-9.25
Board of Elections & Ethics,2010-05-31 00:00:00+00:00,-24.525714285714294
Board of Elections & Ethics,2010-06-30 00:00:00+00:00,269.835
Board of Elections & Ethics,2010-07-31 00:00:00+00:00,-214.23909090909092
Board of Elections & Ethics,2010-08-31 00:00:00+00:00,1.5500000000000056
Board of Elections & Ethics,2010-09-30 00:00:00+00:00,124.91
Board of Elections & Ethics,2010-10-31 00:00:00+00:00,-51.32730769230765
Board of Elections & Ethics,2010-11-30 00:00:00+00:00,-55.676
Board of Elections & Ethics,2010-12-31 00:00:00+00:00,23.65625
Board of Elections & Ethics,2011-01-31 00:00:00+00:00,-55.56727272727273
Board of Elections & Ethics,2011-02-28 00:00:00+00:00,25.24875
Board of Elections & Ethics,2011-03-31 00:00:00+00:00,38.2505
Board of Elections & Ethics,2011-04-30 00:00:00+00:00,-33.69565217391305
Board of Elections & Ethics,2011-05-31 00:00:00+00:00,-22.0
Board of Elections & Ethics,2011-06-30 00:00:00+00:00,3.8346153846153777
Board of Elections & Ethics,2011-07-31 00:00:00+00:00,5.171000000000004
Board of Elections & Ethics,2011-08-31 00:00:00+00:00,24.48800000000001
Board of Elections & Ethics,2011-09-30 00:00:00+00:00,427.51363636363635
Board of Elections & Ethics,2011-10-31 00:00:00+00:00,-1189.4125
Board of Elections & Ethics,2011-11-30 00:00:00+00:00,12.684210526315795
Board of Elections & Ethics,2011-12-31 00:00:00+00:00,2.6923076923076925
Board of Elections & Ethics,2012-01-31 00:00:00+00:00,31.15571428571429
Board of Elections & Ethics,2012-02-29 00:00:00+00:00,-27.10450000000001
Board of Elections & Ethics,2012-03-31 00:00:00+00:00,130.88368421052633
Board of Elections & Ethics,2012-04-30 00:00:00+00:00,-236.42636363636365
Board of Elections & Ethics,2012-05-31 00:00:00+00:00,-1.6999999999999948
Board of Elections & Ethics,2012-06-30 00:00:00+00:00,40.759473684210526
Board of Elections & Ethics,2012-07-31 00:00:00+00:00,-64.53833333333331
Board of Elections & Ethics,2012-08-31 00:00:00+00:00,-11.64999999999999
Board of Elections & Ethics,2012-09-30 00:00:00+00:00,-7.200799999999972
